"# Model: gpt-5-chat, Gamma: 0.85, Max_History_Sessions: 3, Max_History_Human: 9"
"# Episode1 - MAE: 0.1675, Pearson: 0.8698"
"# Episode2 - MAE: 0.2199, Pearson: 0.8942"
"# Average - MAE: 0.1937, Pearson: 0.8820"

=== Episode1 ===
ペア-ラウンド,試行1,試行2,試行3,試行4,試行5,平均,エピソード
1-A-B,-0.8,-0.8,-0.8,-0.8,-0.7,-0.8,Episode1
2-A-B,-0.9,-0.8,-0.9,-0.9,-0.8,-0.9,Episode1
3-A-B,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,Episode1
4-A-B,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,Episode1
5-A-B,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,Episode1
6-A-B,0.2,0.3,0.2,0.2,0.2,0.2,Episode1
1-A-C,0.0,0.0,0.0,0.0,0.0,0.0,Episode1
2-A-C,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,Episode1
3-A-C,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,Episode1
4-A-C,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,Episode1
5-A-C,0.0,0.0,0.0,0.0,0.0,0.0,Episode1
6-A-C,0.1,0.2,0.1,0.2,0.2,0.2,Episode1
1-B-C,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,Episode1
2-B-C,-0.6,-0.5,-0.5,-0.6,-0.5,-0.5,Episode1
3-B-C,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,Episode1
4-B-C,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,Episode1
5-B-C,-0.1,-0.0,-0.0,-0.0,-0.0,-0.0,Episode1
6-B-C,0.1,0.1,0.1,0.2,0.2,0.1,Episode1

=== Episode2 ===
ペア-ラウンド,試行1,試行2,試行3,試行4,試行5,平均,エピソード
1-A-B,0.1,0.1,0.2,0.2,0.2,0.2,Episode2
2-A-B,0.2,0.2,0.3,0.3,0.3,0.3,Episode2
3-A-B,0.3,0.4,0.4,0.3,0.3,0.3,Episode2
4-A-B,0.4,0.4,0.5,0.4,0.4,0.4,Episode2
5-A-B,0.5,0.5,0.5,0.5,0.5,0.5,Episode2
6-A-B,0.6,0.6,0.6,0.6,0.6,0.6,Episode2
1-A-C,0.0,0.0,0.0,0.0,0.0,0.0,Episode2
2-A-C,0.2,0.2,0.2,0.2,0.2,0.2,Episode2
3-A-C,0.3,0.4,0.4,0.3,0.4,0.4,Episode2
4-A-C,0.4,0.5,0.4,0.4,0.4,0.4,Episode2
5-A-C,0.5,0.6,0.6,0.5,0.6,0.6,Episode2
6-A-C,0.6,0.6,0.6,0.6,0.6,0.6,Episode2
1-B-C,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,Episode2
2-B-C,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,Episode2
3-B-C,-0.8,-0.8,-0.8,-0.7,-0.8,-0.8,Episode2
4-B-C,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,Episode2
5-B-C,-0.4,-0.4,-0.5,-0.4,-0.5,-0.4,Episode2
6-B-C,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,Episode2

